kr_text	en_text	source_file	folder_key	status
.claude 디렉토리 구조 Claude Code의 프로젝트 설정 및 훅이 관리되는 디렉토리.	The .claude directory is defined as the structure wherein project configurations and hooks for Claude Code are managed.	.claude/README.md	resources	translated
--- 디렉토리 구성 --- 파일별 역할 설정 | 파일 | 역할 |	Directory Configuration: Functional Role Specification | File | Role |	.claude/README.md	resources	translated
| | 이벤트에 를 훅으로 등록.	The primary mechanism involves registering the hook to the event.	.claude/README.md	resources	translated
Claude가 응답을 완료할 때마다 자동 실행.	The primary mechanism involves automated execution upon the completion of each response by Claude.	.claude/README.md	resources	translated
| 훅 | 파일 | 역할 |	The functional role of hook files.	.claude/README.md	resources	translated
| | Claude Code 대화 transcript(JSONL)를 마크다운으로 변환하여 에 저장.	Claude Code conversation transcripts (JSONL) are converted into Markdown and persisted at [path].	.claude/README.md	resources	translated
| 동작 방식 - Claude Code는 이벤트 발생 시 훅에 와 를 stdin으로 전달.	Operation involves Claude Code conveying data via stdin to a hook, upon event occurrence.	.claude/README.md	resources	translated
- JSONL에서 / 메시지만 추출 ( 및 커맨드 메시지 제외).	Extraction of message content from JSONL, whilst command-based entries are rigorously excluded.	.claude/README.md	resources	translated
- 첫 번째 user 메시지의 필드에서 프로젝트명()을 추출해 폴더 분류.	The primary mechanism involves extracting the project name from the initial user message field to facilitate folder categorisation.	.claude/README.md	resources	translated
- 같은 세션은 덮어쓰기(파일명 prefix 로 식별), 다른 세션은 새 파일 생성.	Identical sessions are overwritten, identified via filename prefixes, whilst distinct sessions necessitate the generation of new files.	.claude/README.md	resources	translated
저장 경로 구조 다른 컴퓨터에서 같은 Vault를 쓸 때 세션 ID가 UUID라 파일명 충돌 없이 같은 폴더에 쌓인다.	The primary mechanism involves the utilisation of UUIDs for session identification, which ensures that files accumulate within a shared directory without collision whilst accessing the same Vault from disparate systems.	.claude/README.md	resources	translated
마크다운 형식	The Markdown specification.	.claude/README.md	resources	translated
지금까지의 대화 내용 전체를 분석하여 학습 노트를 생성하라.	A learning note is to be generated, leveraging a comprehensive analysis of the preceding dialogue.	.claude/commands/learning-capture.md	resources	translated
**실력 진단**: 대화에서 드러난 질문 패턴, 혼동한 개념, 스스로 발견한 통찰을 근거로 현재 수준을 판단한다.	Skill Diagnosis: Current proficiency is assessed by leveraging question patterns revealed during dialogue, confused concepts, and self-discovered insights.	.claude/commands/learning-capture.md	resources	translated
점수나 등급이 아닌 "무엇을 알고 무엇을 모르는가"로 서술한다.	It is described not by scores or grades, but by what is known and what is unknown.	.claude/commands/learning-capture.md	resources	translated
